"created_at","id","text","user_id","user_name","user_screen_name","user_location","user_followers_count","user_friends_count","user_created_at","user_time_zone","user_profile_background_color","user_profile_image_url","geo","coordinates","place"
"Sat Apr 08 18:54:31 +0000 2017",850783935810469900,"RT @BenjaminNorton: Saudi dictator congratulates and praises Trump over Syrian missile strike\nhttps://t.co/dVJm4gWuDA",500838412,"Котомкин-Портянский","DDERSS",,376,330,"Thu Feb 23 14:31:41 +0000 2012","Volgograd","C0DEED","http://pbs.twimg.com/profile_images/1870178747/Question_mark_normal.png",,,
"Sat Apr 08 18:54:31 +0000 2017",850783935894343700,"RT @ERNESTZorro: In the meantime the bombing continues in Syria! So much for Trump's crocodile tears about caring for those babies b… ",192354019,"Julie","stuffjuliesays",,115,274,"Sat Sep 18 22:25:11 +0000 2010",,"DBE9ED","http://pbs.twimg.com/profile_images/1126507486/PKUTXT351hnb_normal.jpg",,,
"Sat Apr 08 18:54:31 +0000 2017",850783936342929400,"RT @polNewsNet: Apparently President Trump is able to control forks from thousands of miles away. https://t.co/tiu8yphC2D",280032759,"Matthew Montoya🌷","Matt60606","Seattle, WA",397,80,"Sun Apr 10 14:00:46 +0000 2011","Pacific Time (US & Canada)","352726","http://pbs.twimg.com/profile_images/825035975034146817/g_3Tid6t_normal.jpg",,,
"Sat Apr 08 18:54:32 +0000 2017",850783937077145600,"RT @TeaPainUSA: Trump has decided to keep Steve Bannon rather than risk alienatin' his white racist alcoholic demographic. #FireBannon",2902282243,"Kat ❄","Katcontinental","Texas, USA",4525,4938,"Mon Nov 17 02:20:51 +0000 2014",,"C0DEED","http://pbs.twimg.com/profile_images/847872990629048320/DmlAJsap_normal.jpg",,,
"Sat Apr 08 18:54:32 +0000 2017",850783937362264000,"RT @TeaPainUSA: Trump has decided to keep Steve Bannon rather than risk alienatin' his white racist alcoholic demographic. #FireBannon",4058063245,"Stan G. Kain","zenarcher1945","Miami, OK",512,1127,"Thu Oct 29 13:34:43 +0000 2015",,"C0DEED","http://pbs.twimg.com/profile_images/659726164462702594/1CkVr2ap_normal.jpg",,,
"Sat Apr 08 18:54:32 +0000 2017",850783937420861400,"RT @kevinseccia: This seemed like a very different mommy. She'd disappeared and in her place was hands? Frequently invoked peek-a-bo… ",112334079,"★☆ᴩᴀᴜʟ☆★","paulofjustice","CA",59,174,"Mon Feb 08 03:39:49 +0000 2010","Arizona","352726","http://pbs.twimg.com/profile_images/843842162982764544/ODc8sIfA_normal.jpg",,,
"Sat Apr 08 18:54:31 +0000 2017",850783936661925900,"RT @CaptainsLog2017: Sending our tax dollars to his pocket\n\nTrump has visited a Trump-branded property every 2.8 days of his presidency htt…",4780784385,"Jonathan Archer2017","CaptJArcher2017","Michigan, USA",4378,4539,"Tue Jan 12 04:33:45 +0000 2016",,"F5F8FA","http://pbs.twimg.com/profile_images/847527200635203586/OqA55orm_normal.jpg",,,
"Sat Apr 08 18:54:32 +0000 2017",850783937798557700,"RT @lavenderblue27: 'Trump Sounded Like A Radio Broadcast From Berlin' | Crooks and Liars https://t.co/XOZSZc9NTz",733975538289782800,"barbara mooney","bmooney12341","fremont ohio ",413,535,"Sat May 21 10:59:39 +0000 2016",,"F5F8FA","http://pbs.twimg.com/profile_images/735911222000898048/wFSyi7FX_normal.jpg",,,
"Sat Apr 08 18:54:32 +0000 2017",850783937735557100,"RT @MUY_SERIO: 7 muertos por el ataque de Trump a Siria.\n¡50 misiles tiró y mató a 7!\nSi se enteran lo que hizo Cristina con un solo tren s…",190907111,"Dalmiro 🔼","dalmiromalano",,373,293,"Wed Sep 15 03:44:35 +0000 2010","Brasilia","C0DEED","http://pbs.twimg.com/profile_images/844047925995102208/WZRxQrxr_normal.jpg",,,
"Sat Apr 08 18:54:32 +0000 2017",850783937269907500,"RT @DanAmira: I swear if Trump randomly, like, tripped on a squirrel or something we'd find an old tweet of his saying only fat l… ",2704649449,"dog bus driver","wehpudicabok","filgaia",1032,475,"Sun Aug 03 18:15:06 +0000 2014",,"000000","http://pbs.twimg.com/profile_images/816234203687723009/65B9EGQL_normal.jpg",,,